memoryless,win,input_connection_density,dataset,tstart,tlast,freeze_time_ms,refractory,learning_algorithm,macrocolumnShape,minicolumnShape,topology,stdp_apre,stdp_tau,wmax,wmin,winitmax,winitmin,cbf,lr_critical,connection_density,nbneurons,nbsynapses,adaptiveProb,excitatoryProb,noise,firing_rate,lda_score,lda_score_input,svm_linear_score,svm_linear_score_input,svm_rbf_score,svm_rbf_score_input,fold,seed,thr,thr_dev
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[1, 1, 1]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,32,84,1,0.8,0,15.640625,50.59%,0.5180952381,0.508,0.5196190476,55.77%,0.6201904762,1,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[1, 1, 1]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,32,96,1,0.8,0,15.734375,41.31%,0.5281904762,0.407047619,0.5331428571,45.70%,0.6857142857,2,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[1, 1, 1]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,32,90,1,0.8,0,6.609375,43.33%,0.5453333333,0.4312380952,0.5472380952,44.88%,0.6495238095,3,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[1, 1, 2]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,64,194,1,0.8,0,15.40625,51.14%,0.5180952381,0.511047619,0.5194285714,55.52%,0.6201904762,1,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[1, 1, 2]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,64,202,1,0.8,0,20.6796875,54.29%,0.5281904762,0.5472380952,0.5331428571,65.83%,0.6857142857,2,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[1, 1, 2]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,64,176,1,0.8,0,14.6015625,52.30%,0.5453333333,0.524,0.5472380952,58.11%,0.6495238095,3,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[1, 2, 2]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,128,402,1,0.8,0,20.11328125,54.21%,0.5180952381,0.5453333333,0.5192380952,59.18%,0.6201904762,1,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[1, 2, 2]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,128,402,1,0.8,0,18.7265625,53.28%,0.5281904762,0.5384761905,0.5331428571,61.05%,0.6857142857,2,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[1, 2, 2]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,128,426,1,0.8,0,24.32421875,57.54%,0.5453333333,0.5782857143,0.5472380952,64.80%,0.6495238095,3,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 2, 2]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,256,992,1,0.8,0,19.44726563,55.87%,0.5180952381,0.5603809524,0.5194285714,62.53%,0.6201904762,1,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 2, 2]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,256,951,1,0.8,0,27.78515625,59.75%,0.5281904762,0.5939047619,0.5331428571,68.70%,0.6857142857,2,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 2, 2]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,256,990,1,0.8,0,28.06445313,60.76%,0.5453333333,0.6032380952,0.5472380952,68.55%,0.6495238095,3,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 2, 3]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,384,1527,1,0.8,0,26.63932292,57.54%,0.5180952381,0.5771428571,0.5192380952,64.80%,0.6201904762,1,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 2, 3]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,384,1524,1,0.8,0,30.96614583,62.23%,0.5281904762,0.6325714286,0.5331428571,70.61%,0.6857142857,2,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 2, 3]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,384,1558,1,0.8,0,26.40494792,63.12%,0.5453333333,0.6312380952,0.5472380952,68.74%,0.6495238095,3,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 2, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,512,2167,1,0.8,0,30.7109375,58.42%,0.5180952381,0.5744761905,0.5196190476,65.18%,0.6201904762,1,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 2, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,512,2140,1,0.8,0,33.67871094,62.00%,0.5281904762,0.612952381,0.5331428571,71.16%,0.6857142857,2,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 2, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,512,2184,1,0.8,0,31.60449219,63.52%,0.5453333333,0.6302857143,0.5472380952,69.79%,0.6495238095,3,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 3, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,768,3315,1,0.8,0,29.9375,59.05%,0.5180952381,0.5693333333,0.5194285714,64.11%,0.6201904762,1,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 3, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,768,3304,1,0.8,0,33.90039063,63.31%,0.5281904762,0.600952381,0.5331428571,71.09%,0.6857142857,2,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 3, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,768,3284,1,0.8,0,31.89322917,63.54%,0.5453333333,0.6057142857,0.547047619,69.73%,0.6495238095,3,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 4, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,"1,024",4516,1,0.8,0,32.71972656,60.15%,0.5180952381,0.5851428571,0.5196190476,65.56%,0.6201904762,1,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 4, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,"1,024",4609,1,0.8,0,34.8671875,64.82%,0.5281904762,0.6020952381,0.5331428571,71.03%,0.6857142857,2,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[2, 4, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,"1,024",4503,1,0.8,0,31.68603516,65.58%,0.5453333333,0.6348571429,0.5472380952,70.90%,0.6495238095,3,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[3, 4, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,"1,536",7290,1,0.8,0,38.42903646,60.27%,0.5180952381,0.5737142857,0.5196190476,66.59%,0.6201904762,1,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[3, 4, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,"1,536",7185,1,0.8,0,35.6311849,64.93%,0.5281904762,0.6139047619,0.5331428571,73.24%,0.6857142857,2,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[3, 4, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,"1,536",7109,1,0.8,0,36.46028646,65.49%,0.5453333333,0.6213333333,0.5472380952,71.37%,0.6495238095,3,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[4, 4, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,"2,048",9897,1,0.8,0,46.75463867,58.51%,0.5180952381,0.559047619,0.5196190476,66.51%,0.6201904762,1,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[4, 4, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,"2,048",9859,1,0.8,0,44.26049805,63.50%,0.5281904762,0.5994285714,0.5331428571,73.54%,0.6857142857,2,50,1,0.5
1,1.0 * rand(),0.15,5_class,0,1800,0,1,critical,"[4, 4, 4]","[4, 4, 2]",small-world,0.001,25,1,0.01,0.25,0,1,0.1,0.1,"2,048",9892,1,0.8,0,37.10864258,63.85%,0.5453333333,0.6060952381,0.5472380952,71.75%,0.6495238095,3,50,1,0.5
