dataset,encode_thr_up,encode_thr_dn,encode_refractory,encode_interpfact,firing_rate,svm_score,svm_score_baseline,fold
roshambo,0.1,0.1,0.0,5.0,671.8139583333334,0.7833333333333333,0.5726666666666667,1.0
roshambo,0.1,0.1,0.0,5.0,678.4260416666667,0.7933333333333333,0.582,2.0
roshambo,0.1,0.1,0.0,5.0,681.3937500000001,0.7966666666666666,0.5693333333333334,3.0
roshambo,0.1,0.1,1.0,5.0,329.5498958333334,0.74,0.5726666666666667,1.0
roshambo,0.1,0.1,1.0,5.0,331.87333333333333,0.7333333333333333,0.582,2.0
roshambo,0.1,0.1,1.0,5.0,333.57343749999995,0.732,0.5693333333333334,3.0
roshambo,0.1,0.1,2.0,5.0,193.37333333333333,0.7166666666666667,0.5726666666666667,1.0
roshambo,0.1,0.1,2.0,5.0,194.39874999999998,0.7086666666666667,0.582,2.0
roshambo,0.1,0.1,2.0,5.0,195.35333333333335,0.7153333333333334,0.5693333333333334,3.0
roshambo,0.1,0.1,3.0,5.0,138.34583333333333,0.6993333333333334,0.5726666666666667,1.0
roshambo,0.1,0.1,3.0,5.0,139.0,0.684,0.582,2.0
roshambo,0.1,0.1,3.0,5.0,139.66208333333333,0.6766666666666666,0.5693333333333334,3.0
roshambo,0.1,0.1,4.0,5.0,108.11749999999999,0.658,0.5726666666666667,1.0
roshambo,0.1,0.1,4.0,5.0,108.58385416666667,0.65,0.582,2.0
roshambo,0.1,0.1,4.0,5.0,109.06239583333334,0.6426666666666667,0.5693333333333334,3.0
roshambo,0.2,0.2,0.0,5.0,357.7494791666667,0.782,0.5726666666666667,1.0
roshambo,0.2,0.2,0.0,5.0,360.9351041666667,0.784,0.582,2.0
roshambo,0.2,0.2,0.0,5.0,362.3675,0.796,0.5693333333333334,3.0
roshambo,0.2,0.2,1.0,5.0,237.75104166666668,0.778,0.5726666666666667,1.0
